ARBITRARY GROUP,Alloy No.,Al,Co,Cr,Cu,Fe,Ni,"Hardness, HV"
1,145.0,7,0,23.3,0,23.3,46.5,149.0
1,146.0,11.1,0,22.2,0,22.2,44.4,229.0
1,147.0,13,0,28,22,6,31,459.0
1,148.0,12,0,31,21,5,31,469.0
1,149.0,12,0,31,20,5,32,483.0
1,150.0,10,0,35,25,5,25,472.0
1,151.0,10,0,35,26,5,24,454.0
1,152.0,10,0,35,24,5,26,441.0
1,153.0,11,0,29,29,5,26,495.0
1,154.0,11,0,28,29,7,25,477.0
1,155.0,11,0,28,27,6,28,469.0
